City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ushuaia,AR,277.96,light rain,-54.8,-68.3,Albatross Hotel
1,Tuktoyaktuk,CA,282.15,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
3,Noumea,NC,299.14,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
4,Hun,LY,297.78,clear sky,29.1268,15.9477,Alrwasi Hotel
5,Sao Joao Da Barra,BR,293.34,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
6,Nikolskoye,RU,289.75,clear sky,59.7035,30.7861,Tourist House - Sablino
7,Jamestown,US,295.92,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
9,Pierre,US,297.62,few clouds,44.3683,-100.351,Ramkota Hotel
10,Mahebourg,MU,293.85,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
11,Barrow,US,274.16,light rain,71.2906,-156.7887,King Eider Inn
12,Amarante Do Maranhao,BR,294.54,scattered clouds,-5.5667,-46.7422,Hotéis Caçulinha
14,Clyde River,CA,276.28,light rain,70.4692,-68.5914,Qamaq Hotel
15,Itupiranga,BR,296.33,few clouds,-5.1347,-49.3267,Hotel Panorama
16,Asau,RO,290.53,few clouds,46.4333,26.4,Casa Mika Ciobanus
18,Severo-Kurilsk,RU,285.89,overcast clouds,50.6789,156.125,Kak Doma
19,Norman Wells,CA,291.17,broken clouds,65.282,-126.8329,Heritage Hotel
20,Richards Bay,ZA,290.08,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
21,Bethel,US,296.35,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
22,Yelniki,RU,294.18,clear sky,54.6207,43.876000000000005,Гостиница „Расвет”
23,Hobart,AU,284.85,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
24,Mataura,NZ,281.75,overcast clouds,-46.1927,168.8643,Ellie's Villa
25,Paamiut,GL,278.92,broken clouds,61.994,-49.6678,Pistut
26,New Norfolk,AU,284.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
28,Punta Arenas,CL,277.21,few clouds,-53.15,-70.9167,Hotel Hain
29,Bluff,NZ,281.93,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
30,Bedesa,ET,290.36,broken clouds,8.9,40.7833,Huzefa Adam
31,San Quintin,MX,292.66,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
