City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Ushuaia,AR,-54.8,-68.3,277.96,81,75,8.23,light rain,2022-07-28 03:38:00
1,Tuktoyaktuk,CA,69.4541,-133.0374,282.15,81,100,5.14,overcast clouds,2022-07-28 03:41:28
2,Bilma,NE,18.6853,12.9164,301.44,58,81,3.9,broken clouds,2022-07-28 03:41:29
3,Noumea,NC,-22.2763,166.4572,299.14,99,100,3.55,overcast clouds,2022-07-28 03:36:49
4,Hun,LY,29.1268,15.9477,297.78,44,0,2.71,clear sky,2022-07-28 03:41:30
5,Sao Joao Da Barra,BR,-21.6403,-41.0511,293.34,85,0,4.74,clear sky,2022-07-28 03:41:31
6,Nikolskoye,RU,59.7035,30.7861,289.75,75,0,2.04,clear sky,2022-07-28 03:41:31
7,Jamestown,US,42.097,-79.2353,295.92,74,100,3.09,overcast clouds,2022-07-28 03:39:49
8,Cockburn Town,TC,21.4612,-71.1419,300.46,77,0,9.35,clear sky,2022-07-28 03:38:44
9,Pierre,US,44.3683,-100.351,297.62,56,20,5.66,few clouds,2022-07-28 03:41:32
10,Mahebourg,MU,-20.4081,57.7,293.85,88,40,3.09,scattered clouds,2022-07-28 03:41:32
11,Barrow,US,71.2906,-156.7887,274.16,100,100,6.17,light rain,2022-07-28 03:41:33
12,Amarante Do Maranhao,BR,-5.5667,-46.7422,294.54,60,33,0.48,scattered clouds,2022-07-28 03:41:33
13,Druzhba,UA,52.0428,33.9453,289.69,93,71,3.14,broken clouds,2022-07-28 03:41:33
14,Clyde River,CA,70.4692,-68.5914,276.28,100,100,2.57,light rain,2022-07-28 03:41:09
15,Itupiranga,BR,-5.1347,-49.3267,296.33,58,11,0.73,few clouds,2022-07-28 03:40:23
16,Asau,RO,46.4333,26.4,290.53,82,16,1.39,few clouds,2022-07-28 03:41:34
17,Lugovoy,KZ,42.9472,72.7644,302.97,26,3,3.13,clear sky,2022-07-28 03:41:34
18,Severo-Kurilsk,RU,50.6789,156.125,285.89,88,96,2.64,overcast clouds,2022-07-28 03:41:35
19,Norman Wells,CA,65.282,-126.8329,291.17,55,75,1.54,broken clouds,2022-07-28 03:41:35
20,Richards Bay,ZA,-28.783,32.0377,290.08,89,89,2.23,overcast clouds,2022-07-28 03:41:36
21,Bethel,US,41.3712,-73.414,296.35,81,0,0.0,clear sky,2022-07-28 03:37:50
22,Yelniki,RU,54.6207,43.876,294.18,76,5,2.94,clear sky,2022-07-28 03:41:36
23,Hobart,AU,-42.8794,147.3294,284.85,63,93,1.79,overcast clouds,2022-07-28 03:38:07
24,Mataura,NZ,-46.1927,168.8643,281.75,98,100,1.69,overcast clouds,2022-07-28 03:41:37
25,Paamiut,GL,61.994,-49.6678,278.92,90,59,6.97,broken clouds,2022-07-28 03:41:37
26,New Norfolk,AU,-42.7826,147.0587,284.66,70,97,1.79,overcast clouds,2022-07-28 03:41:37
27,Bengkulu,ID,-3.8004,102.2655,302.54,65,52,1.34,broken clouds,2022-07-28 03:41:38
28,Punta Arenas,CL,-53.15,-70.9167,277.21,75,20,11.83,few clouds,2022-07-28 03:37:14
29,Bluff,NZ,-46.6,168.3333,281.93,86,100,5.15,overcast clouds,2022-07-28 03:41:39
30,Bedesa,ET,8.9,40.7833,290.36,69,73,3.38,broken clouds,2022-07-28 03:41:39
31,San Quintin,MX,30.4833,-115.95,292.66,87,6,5.06,clear sky,2022-07-28 03:41:40
32,Cape Town,ZA,-33.9258,18.4232,288.36,80,0,1.03,clear sky,2022-07-28 03:37:06
33,Port Alfred,ZA,-33.5906,26.891,290.81,82,89,8.99,overcast clouds,2022-07-28 03:41:40
34,Longyearbyen,SJ,78.2186,15.6401,279.06,81,75,8.23,broken clouds,2022-07-28 03:41:41
35,Albany,US,42.6001,-73.9662,294.11,80,94,0.83,overcast clouds,2022-07-28 03:41:41
